date_rptd,area_name,crm_cd,vict_age,vict_sex,vict_descent,lat,lon,weapons_used_cd,Year
2022-08-20T00:00:00.000,Mission,354,78,F,W,34.3131,-118.4632,,2020
2021-11-02T00:00:00.000,Rampart,812,8,F,F,34.0767,-118.2791,,2020
2020-12-09T00:00:00.000,Southeast,210,53,F,H,33.9502,-118.2673,,2020
2022-01-19T00:00:00.000,Hollywood,354,54,F,B,34.1039,-118.3297,,2020
2022-01-20T00:00:00.000,Pacific,480,32,M,W,33.9779,-118.4142,,2020
2022-12-19T00:00:00.000,Southeast,121,27,F,H,33.9428,-118.2781,,2020
2022-10-17T00:00:00.000,Rampart,354,22,M,H,34.0587,-118.2678,,2020
2023-03-06T00:00:00.000,Devonshire,813,11,F,W,34.2589,-118.6137,,2020
2023-04-20T00:00:00.000,Southeast,354,30,F,B,33.934,-118.2498,,2020
2021-02-12T00:00:00.000,Northeast,354,60,M,W,34.1047,-118.2687,,2020
2022-02-08T00:00:00.000,Hollywood,956,41,M,W,34.0925,-118.3288,,2020
2022-01-07T00:00:00.000,Foothill,354,44,M,W,34.2397,-118.3661,,2020
2023-01-23T00:00:00.000,Olympic,354,38,F,H,34.0559,-118.2868,,2020
2022-08-02T00:00:00.000,Mission,649,56,F,H,34.2319,-118.4633,,2020
2022-08-23T00:00:00.000,77th Street,812,8,F,H,34.0028,-118.3068,,2020
2022-04-21T00:00:00.000,Olympic,354,62,M,A,34.0672,-118.3028,,2020
2022-01-11T00:00:00.000,Newton,354,29,F,B,33.9861,-118.2696,,2020
2022-07-11T00:00:00.000,Newton,354,53,F,H,34.0349,-118.2436,,2020
2023-02-01T00:00:00.000,Southwest,121,33,F,W,34.0228,-118.3156,,2020
2022-11-18T00:00:00.000,West LA,930,32,M,H,34.0587,-118.4158,,2020
2023-10-25T00:00:00.000,Rampart,354,34,M,B,34.0456,-118.2789,,2020
2022-02-17T00:00:00.000,Rampart,354,38,M,B,34.0387,-118.2786,,2020
2023-05-31T00:00:00.000,Wilshire,956,29,F,B,34.0578,-118.3628,,2020
2022-02-21T00:00:00.000,Foothill,121,11,F,H,34.2865,-118.4161,,2020
2022-03-21T00:00:00.000,Mission,815,7,F,H,34.2266,-118.4553,,2020
2022-03-02T00:00:00.000,Foothill,810,14,F,H,34.2758,-118.4052,,2020
2022-12-02T00:00:00.000,Rampart,121,19,F,B,34.0509,-118.2642,,2020
2020-12-24T00:00:00.000,West LA,331,62,M,W,34.039,-118.5262,,2020
2022-11-15T00:00:00.000,Pacific,626,28,F,H,33.9962,-118.4694,,2020
2022-06-17T00:00:00.000,Central,354,48,M,B,34.0495,-118.2459,,2020
2022-11-15T00:00:00.000,Mission,820,8,M,B,34.321,-118.4381,,2020
2020-12-21T00:00:00.000,Southwest,820,6,F,B,34.0102,-118.3404,,2020
2022-01-30T00:00:00.000,Hollywood,354,28,M,W,34.0908,-118.3012,,2020
2022-04-06T00:00:00.000,Hollenbeck,860,12,F,H,34.0445,-118.2116,,2020
2022-01-22T00:00:00.000,Harbor,956,28,F,H,33.7845,-118.2714,,2020
2020-10-24T00:00:00.000,77th Street,740,31,M,I,33.9801,-118.2914,,2020
2022-12-31T00:00:00.000,Pacific,354,54,M,O,33.9869,-118.4301,,2020
2022-11-02T00:00:00.000,Mission,354,31,F,B,34.239,-118.4618,,2020
2020-11-26T00:00:00.000,Central,815,19,F,W,34.0535,-118.2491,,2020
2023-12-08T00:00:00.000,Southwest,354,50,M,B,34.016,-118.346,,2020
2023-01-02T00:00:00.000,Topanga,940,23,F,W,34.1938,-118.571,,2020
2022-10-27T00:00:00.000,Southwest,946,53,M,B,34.0094,-118.3231,,2020
2023-06-27T00:00:00.000,Northeast,946,26,M,B,34.1094,-118.1963,,2020
2022-05-13T00:00:00.000,N Hollywood,625,48,M,H,34.1721,-118.3965,,2020
2022-04-01T00:00:00.000,Mission,354,16,M,H,34.2249,-118.4344,,2020
2023-01-11T00:00:00.000,Hollywood,310,45,F,W,34.0944,-118.319,,2020
2022-04-26T00:00:00.000,Van Nuys,310,50,F,H,34.1649,-118.4661,,2020
2023-06-29T00:00:00.000,Van Nuys,354,46,M,O,34.1635,-118.4411,,2020
2023-11-20T00:00:00.000,West LA,341,44,F,W,34.0448,-118.5277,,2020
2023-05-27T00:00:00.000,Topanga,354,52,M,W,34.2191,-118.5771,,2020
2022-07-20T00:00:00.000,West Valley,331,80,F,K,34.212,-118.534,,2020
2023-06-12T00:00:00.000,Devonshire,354,51,M,B,34.2799,-118.5818,,2020
2023-04-20T00:00:00.000,Harbor,624,14,F,W,33.7379,-118.3012,,2020
2023-09-18T00:00:00.000,Wilshire,354,33,F,J,34.0537,-118.3327,,2020
2022-04-26T00:00:00.000,77th Street,354,41,F,H,34.0037,-118.2938,,2020
2023-02-28T00:00:00.000,Harbor,510,0,,,33.7694,-118.2955,,2020
2022-06-17T00:00:00.000,Newton,341,51,M,O,34.0342,-118.2496,,2020
2023-12-19T00:00:00.000,Mission,815,8,F,B,34.2181,-118.4664,,2020
2023-04-24T00:00:00.000,Southwest,956,30,M,W,34.0363,-118.2762,,2020
